"","x"
"GSM2613711","0"
"GSM2613712","4"
"GSM2613713","0"
"GSM2613714","0"
"GSM2613715","9"
"GSM2613716","4"
"GSM2613717","5"
"GSM2613718","2"
"GSM2613719","9"
"GSM2613720","4"
"GSM2613721","4"
"GSM2613722","4"
"GSM2613723","0"
"GSM2613724","0"
"GSM2613725","2"
"GSM2613726","2"
"GSM2613727","0"
"GSM2613728","2"
"GSM2613729","2"
"GSM2613730","4"
"GSM2613731","4"
"GSM2613732","4"
"GSM2613733","0"
"GSM2613734","5"
"GSM2613735","0"
"GSM2613736","2"
"GSM2613737","5"
"GSM2613738","0"
"GSM2613739","0"
"GSM2613740","2"
"GSM2613741","0"
"GSM2613742","2"
"GSM2613743","2"
"GSM2613744","0"
"GSM2613745","9"
"GSM2613746","9"
"GSM2613747","9"
"GSM2613748","4"
"GSM2613749","4"
"GSM2613750","0"
"GSM2613751","2"
"GSM2613752","0"
"GSM2613753","2"
"GSM2613754","2"
"GSM2613755","0"
"GSM2613756","0"
"GSM2613757","5"
"GSM2613758","0"
"GSM2613759","0"
"GSM2613760","5"
"GSM2613761","2"
"GSM2613762","5"
"GSM2613763","4"
"GSM2613764","0"
"GSM2613765","4"
"GSM2613766","0"
"GSM2613767","0"
"GSM2613768","5"
"GSM2613769","5"
"GSM2613770","5"
"GSM2613771","2"
"GSM2613772","0"
"GSM2613773","2"
"GSM2613774","4"
"GSM2613775","2"
"GSM2613776","4"
"GSM2613777","0"
"GSM2613778","0"
"GSM2613779","4"
"GSM2613780","0"
"GSM2613781","2"
"GSM2613782","2"
"GSM2613783","0"
"GSM2613784","5"
"GSM2613785","0"
"GSM2613786","5"
"GSM2613787","0"
"GSM2613788","2"
"GSM2613789","2"
"GSM2613790","9"
"GSM2613791","0"
"GSM2613792","2"
"GSM2613793","5"
"GSM2613794","0"
"GSM2613795","5"
"GSM2613796","2"
"GSM2613797","5"
"GSM2613798","0"
"GSM2613799","5"
"GSM2613800","5"
"GSM2613801","0"
"GSM2613802","0"
"GSM2613803","4"
"GSM2613804","5"
"GSM2613805","0"
"GSM2613806","5"
"GSM2613807","2"
