"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Psma8","Psma8",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
"Mfsd2b","Mfsd2b",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
"Uhrf1bp1","Uhrf1bp1",2.82781902461732,0.886413512266554,0.0367138607046034,0.453909557412663
"Gt(ROSA)26Sor","Gt(ROSA)26Sor",2.35049724708413,0.915313849714161,0.0171529186110052,0.453967423027015
"Grn","Grn",3.81762325751143,0.769650959860384,0.017155570158352,0.453979855081918
"Acr","Acr",1.63226821549951,0.98742086712521,0.0366909894499436,0.454016791335834
"Cenpp","Cenpp",1.63226821549951,0.98742086712521,0.0366909894499436,0.454016791335834
"Slc16a13","Slc16a13",1.63226821549951,0.967894076413829,0.017164198738563,0.454020311387729
"Trpt1","Trpt1",2.35049724708413,0.915325140729463,0.0171642096263067,0.45402036243674
"Fbxo6","Fbxo6",2.60880924267552,0.908650815001828,0.0366888744296119,0.454026707967281
"Dyrk3","Dyrk3",2.03562390973072,0.965074171029668,0.0366874074603103,0.454033586118423
"B3galt2","B3galt2",2.82781902461732,0.866866912802542,0.0171672612405911,0.45403467047179
"Tmem81","Tmem81",1.63226821549951,0.967899387794676,0.0171695101194098,0.454045214777352
"Alms1-ps2","Alms1-ps2",1.63226821549951,0.967905196194337,0.0171753185190706,0.454072448738256
"Parl","Parl",3.33628338786443,0.835761389878477,0.0366700357372505,0.45411503763451
"Tdp2","Tdp2",2.35049724708413,0.915345730276223,0.017184799173067,0.454116901336122
"Gimap1","Gimap1",1.63226821549951,0.987395772736087,0.036665895060821,0.454134452480201
"Dazl","Dazl",1.0703893278914,0.995367285419641,0.0171943296220811,0.454161587990615
"Unc45a","Unc45a",2.82781902461732,0.886351649682616,0.0366519981206648,0.454199613395199
"Adora2a","Adora2a",1.63226821549951,0.987376381617219,0.0366465039419533,0.454225375212874
"Rab27a","Rab27a",2.03562390973072,0.94560389962087,0.0172171360515121,0.454268525813886
"Mir5121","Mir5121",2.03562390973072,0.94560908917481,0.0172223256054517,0.454292859748718
"Zfp947","Zfp947",1.63226821549951,0.987352427882148,0.0366225502068817,0.454337694840991
"Nat8l","Nat8l",3.47248777146274,0.822761259746706,0.0366206497024906,0.454346606507324
"Morf4l1","Morf4l1",2.82781902461732,0.866933949656463,0.0172342980945118,0.454348999672775
"Zfp781-loc2","Zfp781-loc2",2.03562390973072,0.945621737531206,0.0172349739618481,0.454352168894016
